		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110111000  264  248  228  241  266  220  238  233  8.056559 0.427965 SUCCESS 115
110111010  250  246  278  225  226  268  268  216 16.145422 0.040345 SUCCESS 116
110111100  238  253  236  259  224  262  240  229  5.820656 0.667313 SUCCESS 117
111000000  235  235  226  262  195  249  217  244 16.893195 0.031241 SUCCESS 118
111000010  258  239  269  259  270  251  265  280 14.821463 0.062711 SUCCESS 119
111000100  261  237  229  264  232  244  239  253  5.132197 0.743358 SUCCESS 120
111000110  252  218  242  238  245  252  236  268  6.293045 0.614443 SUCCESS 121
111001000  263  237  247  242  259  261  238  225  5.631065 0.688480 SUCCESS 122
111001010  261  268  222  251  254  256  217  272 13.315326 0.101451 SUCCESS 123
111001100  253  264  265  245  256  241  253  262  6.182891 0.626754 SUCCESS 124
111010000  221  243  214  242  261  244  229  229  9.279898 0.319237 SUCCESS 125
111010010  237  268  269  214  241  221  234  253 12.171425 0.143718 SUCCESS 126
111010100  260  238  260  238  243  257  259  240  4.170473 0.841424 SUCCESS 127
111010110  270  255  251  238  245  210  287  245 16.425043 0.036685 SUCCESS 128
111011000  243  226  219  236  236  266  243  239  6.774966 0.561095 SUCCESS 129
111011010  220  230  244  251  226  229  273  261 10.611271 0.224712 SUCCESS 130
111011100  255  240  254  245  265  251  231  254  4.178946 0.840628 SUCCESS 131
111100000  220  262  229  245  210  271  235  238 13.297321 0.102021 SUCCESS 132
111100010  255  257  244  269  241  248  236  239  4.320875 0.827075 SUCCESS 133
111100100  218  246  241  253  237  253  217  244  6.947610 0.542296 SUCCESS 134
111100110  245  253  244  255  227  260  279  254  8.714302 0.366967 SUCCESS 135
111101000  241  250  232  229  264  241  237  249  3.810356 0.873816 SUCCESS 136
111101010  249  236  230  241  250  251  238  242  1.791582 0.986748 SUCCESS 137
111101100  247  241  230  237  221  267  252  248  5.945638 0.653321 SUCCESS 138
111101110  233  231  229  228  252  240  268  235  6.427559 0.599454 SUCCESS 139
111110000  225  248  241  240  230  272  260  250  7.077888 0.528253 SUCCESS 140
111110010  226  254  231  237  238  217  215  235  9.972593 0.266955 SUCCESS 141
111110100  245  266  241  210  279  213  242  249 16.382676 0.037219 SUCCESS 142
111110110  233  242  231  261  255  247  255  238  3.675841 0.885123 SUCCESS 143
111111000  223  233  250  240  228  255  229  244  5.205280 0.735427 SUCCESS 144
111111010  253  262  249  229  276  239  255  230  8.519415 0.384442 SUCCESS 145
111111100  225  240  254  245  237  229  240  228  4.396075 0.819738 SUCCESS 146
111111110  224  249  227  226  248  230  212  241  9.773470 0.281287 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  275  233  232  224  231  250  235  221 10.396260 0.238307 SUCCESS   0
000000011  293  221  235  217  229  271  221  232 22.773694 0.003667 FAILURE   1
000000101  272  242  259  268  221  223  251  262 12.373726 0.135292 SUCCESS   2
000000111  264  238  243  245  233  279  242  263  9.046881 0.338357 SUCCESS   3
000001001  276  249  226  235  229  246  269  267 11.972302 0.152444 SUCCESS   4
000001011  245  231  236  233  232  240  256  258  3.645126 0.887639 SUCCESS   5
000001101  264  261  242  245  259  233  226  241  5.797354 0.669919 SUCCESS   6
000001111  255  231  258  249  230  269  230  258  7.274893 0.507285 SUCCESS   7
000010001  262  253  211  246  252  227  235  245  8.212257 0.413016 SUCCESS   8
000010011  258  271  250  248  255  248  259  231  6.317406 0.611724 SUCCESS   9
000010101  231  262  263  256  259  239  248  239  5.413936 0.712555 SUCCESS  10
000010111  254  226  262  237  245  254  265  237  5.851372 0.663876 SUCCESS  11
000011001  236  227  262  241  247  225  238  245  4.664045 0.792805 SUCCESS  12
000011011  275  235  238  238  243  242  244  255  5.234936 0.732196 SUCCESS  13
000011101  228  237  246  254  242  271  260  211 10.540307 0.229130 SUCCESS  14
000011111  242  260  230  240  236  260  262  250  4.851518 0.773322 SUCCESS  15
000100011  233  238  219  245  260  239  236  233  5.344031 0.720252 SUCCESS  16
000100101  265  230  253  237  259  248  233  265  6.611854 0.579029 SUCCESS  17
